keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Pékin',en,China,#F811A1,#F811A1,2,0.10000070832630001
'Chine',en,China,#F811A1,#F811A1,2,0.10000070832630001
'Inde',en,India,#8C707B,#8C707B,2,0.10000073930740004
'New Delhi',en,India,#8C707B,#8C707B,2,0.10000073930740004
'Washington',en,United States,#517E61,#517E61,2,0.10000305653893414
'États-Unis',en,United States,#517E61,#517E61,2,0.10000305653893414
'Djakarta',en,Indonesia,#C8818E,#C8818E,2,0.10000373603514429
'Indonésie',en,Indonesia,#C8818E,#C8818E,2,0.10000373603514429
'Islamabad',en,Pakistan,#C3BBF8,#C3BBF8,2,0.10000471220158158
'Pakistan',en,Pakistan,#C3BBF8,#C3BBF8,2,0.10000471220158158
'Brasília',en,Brazil,#3C3D2F,#3C3D2F,2,0.10000477396851214
'Brésil',en,Brazil,#3C3D2F,#3C3D2F,2,0.10000477396851214
'Nigeria',en,Nigeria,#99BC52,#99BC52,2,0.10000510530352204
'Abuja',en,Nigeria,#99BC52,#99BC52,2,0.10000510530352204
'Bangladesh',en,Bangladesh,#5C5B16,#5C5B16,2,0.10000619747488967
'Dacca',en,Bangladesh,#5C5B16,#5C5B16,2,0.10000619747488967
'Moscou',en,Russia,#C650E4,#C650E4,2,0.10000692146661726
'Russie',en,Russia,#C650E4,#C650E4,2,0.10000692146661726
'Japon',en,Japan,#FA192E,#FA192E,2,0.10000790332026388
'Tokyo',en,Japan,#FA192E,#FA192E,2,0.10000790332026388
'Mexique',en,Mexico,#47421F,#47421F,2,0.10000792450872088
'Mexico',en,Mexico,#47421F,#47421F,2,0.10000792450872088
'Addis-Abeba',en,Ethiopia,#9D860B,#9D860B,2,0.1000091554501035
'Ethiopie',en,Ethiopia,#9D860B,#9D860B,2,0.1000091554501035
'Philippines',en,Philippines,#DA7B73,#DA7B73,2,0.10000937629609713
'Manille',en,Philippines,#DA7B73,#DA7B73,2,0.10000937629609713
'Caire',en,Egypt,#EC1B38,#EC1B38,2,0.10001016016535466
'Egypte',en,Egypt,#EC1B38,#EC1B38,2,0.10001016016535466
'Viêt Nam',en,Vietnam,#4068B9,#4068B9,2,0.10001046677690625
'Hanoï',en,Vietnam,#4068B9,#4068B9,2,0.10001046677690625
'République démocratique du Congo',en,Democratic Republic of the Congo,#3C5B39,#3C5B39,2,0.10001189511963583
'Kinshasa',en,Democratic Republic of the Congo,#3C5B39,#3C5B39,2,0.10001189511963583
'Berlin',en,Germany,#19F7BC,#19F7BC,2,0.10001205866463168
'Allemagne',en,Germany,#19F7BC,#19F7BC,2,0.10001205866463168
'Ankara',en,Turkey,#2D1AD4,#2D1AD4,2,0.10001214775695799
'Turquie',en,Turkey,#2D1AD4,#2D1AD4,2,0.10001214775695799
'L'Iran',en,Iran,#116646,#116646,2,0.10001222489867363
'Téhéran',en,Iran,#116646,#116646,2,0.10001222489867363
'Bangkok',en,Thailand,#64C622,#64C622,2,0.10001440330202037
'Thaïlande',en,Thailand,#64C622,#64C622,2,0.10001440330202037
'France',en,France,#FBEE5A,#FBEE5A,2,0.10001492821528828
'Paris',en,France,#FBEE5A,#FBEE5A,2,0.10001492821528828
'Londres',en,United Kingdom,#3D0E86,#3D0E86,2,0.10001504008385388
'Royaume-Uni',en,United Kingdom,#3D0E86,#3D0E86,2,0.10001504008385388
'Italie',en,Italy,#BE3A49,#BE3A49,2,0.10001654772082202
'Rome',en,Italy,#BE3A49,#BE3A49,2,0.10001654772082202
'Afrique du Sud',en,South Africa,#B9FFB0,#B9FFB0,2,0.10001730713987711
'Prétoria',en,South Africa,#B9FFB0,#B9FFB0,2,0.10001730713987711
'Dodoma',en,Tanzania,#C49CFA,#C49CFA,2,0.10001775620264998
'Tanzanie',en,Tanzania,#C49CFA,#C49CFA,2,0.10001775620264998
'Nay Pyi Taw',en,Myanmar,#48EF89,#48EF89,2,0.1000186190631837
'Birmanie',en,Myanmar,#48EF89,#48EF89,2,0.1000186190631837
'Corée du Sud',en,South Korea,#01469F,#01469F,2,0.10001936661261059
'Séoul',en,South Korea,#01469F,#01469F,2,0.10001936661261059
'Nairobi',en,Kenya,#97B65E,#97B65E,2,0.10001945789904114
'Kenya',en,Kenya,#97B65E,#97B65E,2,0.10001945789904114
'Colombie',en,Colombia,#1806A0,#1806A0,2,0.10002014152036454
'Bogotá',en,Colombia,#1806A0,#1806A0,2,0.10002014152036454
'Madrid',en,Spain,#01B713,#01B713,2,0.10002140239217534
'Espagne',en,Spain,#01B713,#01B713,2,0.10002140239217534
'Kyiv',en,Ukraine,#049581,#049581,2,0.10002241021102441
'Ukraine',en,Ukraine,#049581,#049581,2,0.10002241021102441
'Buenos Aires',en,Argentina,#98605A,#98605A,2,0.10002247468687256
'Argentine',en,Argentina,#98605A,#98605A,2,0.10002247468687256
'Kampala',en,Uganda,#AA0AE9,#AA0AE9,2,0.10002340651982525
'Ouganda',en,Uganda,#AA0AE9,#AA0AE9,2,0.10002340651982525
'Algérie',en,Algeria,#8F5F9E,#8F5F9E,2,0.10002368072939678
'Alger',en,Algeria,#8F5F9E,#8F5F9E,2,0.10002368072939678
'Khartoum',en,Sudan,#7D35D8,#7D35D8,2,0.1000239225676245
'Soudan',en,Sudan,#7D35D8,#7D35D8,2,0.1000239225676245
'Irak',en,Iraq,#C3692B,#C3692B,2,0.10002601890012906
'Bagdad',en,Iraq,#C3692B,#C3692B,2,0.10002601890012906
'Pologne',en,Poland,#2E8A65,#2E8A65,2,0.10002633065382069
'Varsovie',en,Poland,#2E8A65,#2E8A65,2,0.10002633065382069
'Afghanistan',en,Afghanistan,#2E88BB,#2E88BB,2,0.1000269016898727
'Kaboul',en,Afghanistan,#2E88BB,#2E88BB,2,0.1000269016898727
'Ottawa',en,Canada,#6A11B9,#6A11B9,2,0.10002698410334092
'Canada',en,Canada,#6A11B9,#6A11B9,2,0.10002698410334092
'Maroc',en,Morocco,#99D358,#99D358,2,0.10002775531293588
'Rabat',en,Morocco,#99D358,#99D358,2,0.10002775531293588
'Arabie Saoudite',en,Saudi Arabia,#F39FA6,#F39FA6,2,0.10002967363717219
'Riyad',en,Saudi Arabia,#F39FA6,#F39FA6,2,0.10002967363717219
'Tachkent',en,Uzbekistan,#4F791F,#4F791F,2,0.10003034404073384
'Ouzbékistan',en,Uzbekistan,#4F791F,#4F791F,2,0.10003034404073384
'Lima',en,Peru,#7B1895,#7B1895,2,0.10003126049571144
'Pérou',en,Peru,#7B1895,#7B1895,2,0.10003126049571144
'Kuala Lumpur',en,Malaysia,#A3001F,#A3001F,2,0.10003171724960065
'Malaisie',en,Malaysia,#A3001F,#A3001F,2,0.10003171724960065
'Luanda',en,Angola,#4DC80D,#4DC80D,2,0.1000324572452069
'Angola',en,Angola,#4DC80D,#4DC80D,2,0.1000324572452069
'Ghana',en,Ghana,#863EE6,#863EE6,2,0.10003359412677913
'Accra',en,Ghana,#863EE6,#863EE6,2,0.10003359412677913
'Mozambique',en,Mozambique,#FA8618,#FA8618,2,0.10003390294576593
'Maputo',en,Mozambique,#FA8618,#FA8618,2,0.10003390294576593
'Venezuela',en,Venezuela,#B93E7E,#B93E7E,2,0.10003463779860164
'Caracas',en,Venezuela,#B93E7E,#B93E7E,2,0.10003463779860164
'Yémen',en,Yemen,#6AA71F,#6AA71F,2,0.10003508933587012
'Sanaa',en,Yemen,#6AA71F,#6AA71F,2,0.10003508933587012
'Népal',en,Nepal,#AFBC42,#AFBC42,2,0.10003560255599295
'Katmandou',en,Nepal,#AFBC42,#AFBC42,2,0.10003560255599295
'Madagascar',en,Madagascar,#3CFD62,#3CFD62,2,0.10003807729752322
'Antananarivo',en,Madagascar,#3CFD62,#3CFD62,2,0.10003807729752322
'Corée du Nord',en,North Korea,#E128B5,#E128B5,2,0.10003913922051659
'Pyongyang',en,North Korea,#E128B5,#E128B5,2,0.10003913922051659
