,phrase,label,sentiment,subjectivity,language,count
Gaza,Gaza,LOC,0.07754083658277205,0.14237964275867515,fr,155
Israël,Israël,LOC,0.06913302891734265,0.15161538733597577,fr,153
Jamaïque,Jamaïque,LOC,0.13103311439518334,0.5193058292282433,fr,87
Kazakhstan,Kazakhstan,LOC,0.06690391229141228,0.18084350834350824,fr,78
Vatican,Vatican,LOC,0.15284077727827727,0.21064383533133524,fr,52
DIRECT,DIRECT,LOC,0.08447562358276643,0.16548611111111108,fr,42
Cisjordanie,Cisjordanie,LOC,0.05541971405787193,0.1539537764866713,fr,38
Antarctique,Antarctique,LOC,0.0737789320054945,0.19186670100732608,fr,32
Russie,Russie,LOC,0.09545857401145863,0.13733149596130365,fr,26
Haïti,Haïti,LOC,0.06284606060606061,0.23784242424242424,fr,25
Paris,Paris,LOC,0.12996315192743765,0.5591286848072562,fr,21
Caraïbes,Caraïbes,LOC,0.030328320802005006,0.30813909774436093,fr,19
Belgique,Belgique,LOC,0.08866526610644258,0.2355252100840336,fr,17
Jérusalem,Jérusalem,LOC,0.03838189935064936,0.1504463609307359,fr,16
France,France,LOC,0.043073484848484854,0.1953784722222222,fr,16
Washington,Washington,LOC,0.009192176870748301,0.14799886621315195,fr,14
Cuba,Cuba,LOC,0.3651802721088436,0.4545748299319728,fr,14
Guatemala,Guatemala,LOC,0.02223443223443224,0.06611721611721612,fr,13
Bermudes,Bermudes,LOC,0.09744890873015873,0.16343749999999999,fr,12
Turquie,Turquie,LOC,0.028679512617012615,0.16291329619454623,fr,12
la France,la France,LOC,0.034089826839826844,0.21306547619047617,fr,10
Chine,Chine,LOC,0.11972313103563101,0.14799669080919084,fr,10
Ukraine,Ukraine,LOC,0.0033337742504409205,0.1491820987654321,fr,9
Astana,Astana,LOC,0.06628835978835979,0.13164021164021167,fr,9
Europe,Europe,LOC,0.08178990453990456,0.22535741110741114,fr,9
Palestine,Palestine,LOC,0.1933035714285714,0.16450892857142857,fr,8
de France,de France,LOC,0.0701736111111111,0.1776111111111111,fr,8
Verdun,Verdun,LOC,-0.065375,0.22562500000000005,fr,8
Istanbul,Istanbul,LOC,-0.04428571428571428,0.20535714285714288,fr,7
Pékin,Pékin,LOC,0.09382062382062382,0.21353646353646358,fr,7
Arabie saoudite,Arabie saoudite,LOC,0.0020396825396825397,0.2069047619047619,fr,7
République dominicaine,République dominicaine,LOC,0.11928571428571429,0.39630952380952383,fr,7
Brésil,Brésil,LOC,0.1522278911564626,0.14931972789115644,fr,7
Liechtenstein,Liechtenstein,LOC,0.09705442176870749,0.16784013605442175,fr,7
Français,Français,LOC,-0.02513172541743969,0.19466141001855286,fr,7
chapelle Sixtine,chapelle Sixtine,LOC,0.19678571428571429,0.1435714285714286,fr,7
COP30,COP30,LOC,0.17106190476190478,0.2151904761904762,fr,7
Qatar,Qatar,LOC,-0.003314814814814812,0.16569444444444445,fr,6
Rome,Rome,LOC,0.20708333333333337,0.36833333333333335,fr,6
État,État,LOC,0.13755555555555554,0.12,fr,6
Etat hébreu,Etat hébreu,LOC,0.06200595238095238,0.13517857142857143,fr,6
Suède,Suède,LOC,0.19154761904761905,0.24967261904761906,fr,6
Italie,Italie,LOC,0.11272970085470085,0.16258012820512818,fr,6
Mexique,Mexique,LOC,0.07611111111111113,0.10972222222222221,fr,6
Egypte,Egypte,LOC,0.09752777777777778,0.1515277777777778,fr,6
Soudan,Soudan,LOC,-0.1157777777777778,0.2911111111111111,fr,6
Allemagne,Allemagne,LOC,0.18123888888888892,0.20395238095238097,fr,6
