,phrase,label,sentiment,subjectivity,language,count
Cisjordanie,Cisjordanie,LOC,0.08717585630743524,0.1367669172932331,fr,19
Gaza,Gaza,LOC,0.07230335097001764,0.15930555555555553,fr,18
Caraïbes,Caraïbes,LOC,0.012083333333333317,0.20729166666666665,fr,8
DIRECT,DIRECT,LOC,0.060115575396825396,0.1553422619047619,fr,8
Verdun,Verdun,LOC,-0.065375,0.22562500000000005,fr,8
Palestine,Palestine,LOC,0.15663265306122448,0.1451530612244898,fr,7
Gaza ,Gaza ,LOC,0.08251360544217687,0.16414965986394559,fr,7
Vancouver,Vancouver,LOC,0.07666666666666667,0.20833333333333334,fr,4
Etat hébreu,Etat hébreu,LOC,0.07775892857142858,0.12776785714285716,fr,4
Caraïbe,Caraïbe,LOC,0.25,0.25250000000000006,fr,4
COP30,COP30,LOC,0.24708333333333332,0.2708333333333333,fr,4
Belem,Belem,LOC,0.2275,0.0875,fr,4
Mont Saint,Mont Saint,LOC,0.28875,0.2625,fr,3
Rouen,Rouen,LOC,0.17577777777777773,0.1366666666666667,fr,3
Istanbul,Istanbul,LOC,-0.1416666666666667,0.28611111111111115,fr,3
Stegra,Stegra,LOC,0.17714285714285713,0.20714285714285716,fr,3
Silicon Valley,Silicon Valley,LOC,0.045000000000000005,0.10000000000000002,fr,3
Atlantique,Atlantique,LOC,0.23591666666666666,0.25708333333333333,fr,3
Hauts-de-Seine,Hauts-de-Seine,LOC,0.13999999999999999,0.10000000000000002,fr,2
Etats,Etats,LOC,0.073125,0.12375,fr,2
Tsedek,Tsedek,LOC,0.26666666666666666,0.16666666666666666,fr,2
Angleterre,Angleterre,LOC,0.0,0.085,fr,2
Britannique,Britannique,LOC,0.07666666666666667,0.20833333333333334,fr,2
Kiev,Kiev,LOC,0.0,0.085,fr,2
Havre,Havre,LOC,0.175,0.0875,fr,2
Suresnes,Suresnes,LOC,0.13999999999999999,0.10000000000000002,fr,2
Meuse,Meuse,LOC,0.061000000000000006,0.115,fr,2
Tenerife,Tenerife,LOC,-0.03454545454545455,0.1909090909090909,fr,2
mer des Caraïbes,mer des Caraïbes,LOC,-0.175,0.2,fr,2
Oleron,Oleron,LOC,-0.18000000000000002,-0.20000000000000004,fr,2
Allan,Allan,LOC,0.17841666666666667,0.1704166666666667,fr,2
Cest,Cest,LOC,0.12722222222222224,0.058333333333333334,fr,2
Etat,Etat,LOC,0.24000000000000005,0.12,fr,2
Allan Hills,Allan Hills,LOC,0.325,0.18,fr,2
Hektoria Glacier,Hektoria Glacier,LOC,-0.02571428571428572,0.2857142857142857,fr,2
Palais Royal,Palais Royal,LOC,0.17375,0.19375000000000003,fr,2
Amazonie,Amazonie,LOC,0.18708333333333332,0.07708333333333334,fr,2
Hollywood,Hollywood,LOC,0.42633928571428575,0.33392857142857146,fr,2
Grand Palais,Grand Palais,LOC,0.17714285714285713,5.142857142857143,fr,2
chapelle Sixtine,chapelle Sixtine,LOC,0.21250000000000002,0.14625000000000002,fr,2
Sahel,Sahel,LOC,0.035,0.0875,fr,2
État de Palestine,État de Palestine,LOC,0.1,0.25,fr,2
Amérique,Amérique,LOC,0.17222222222222222,0.11666666666666667,fr,2
Calvados,Calvados,LOC,0.12111111111111111,0.2694444444444445,fr,2
Normandie,Normandie,LOC,0.028680555555555542,0.4378472222222222,fr,2
Europe,Europe,LOC,0.025625000000000005,0.19479166666666664,fr,2
évêque de Cadix,évêque de Cadix,LOC,-0.015,-0.035,fr,2
Dozulé,Dozulé,LOC,0.12111111111111111,0.2694444444444445,fr,2
Belges,Belges,LOC,0.2625,0.325,fr,2
Vance,Vance,LOC,0.16399999999999998,0.12,fr,2
Charente,Charente,LOC,-0.18000000000000002,-0.20000000000000004,fr,1
île d'Oléron,île d'Oléron,LOC,-0.18000000000000002,-0.20000000000000004,fr,1
Oléron,Oléron,LOC,-0.18000000000000002,-0.20000000000000004,fr,1
Monde »,Monde »,LOC,0.10833333333333332,0.11666666666666668,fr,1
Wallis-et-Futuna,Wallis-et-Futuna,LOC,0.148,0.16,fr,1
Israéliens,Israéliens,LOC,0.10833333333333332,0.11666666666666668,fr,1
Annee sainte,Annee sainte,LOC,0.24272727272727276,0.4090909090909091,fr,1
Planète !,Planète !,LOC,0.04875000000000001,0.21458333333333335,fr,1
Darfour,Darfour,LOC,-0.15,0.29000000000000004,fr,1
Belém,Belém,LOC,0.3475,0.475,fr,1
