,phrase,label,sentiment,subjectivity,language,count
Hamas,Hamas,ORG,-0.00924019607843138,0.20821078431372553,fr,17
Parlement israélien,Parlement israélien,ORG,0.11822052154195009,0.11649659863945579,fr,7
ONU,ONU,ORG,0.1901531746031746,0.10540476190476192,fr,5
ministère de la Santé,ministère de la Santé,ORG,0.05,0.14166666666666666,fr,4
AFP,AFP,ORG,0.042374999999999996,0.055,fr,4
Knesset,Knesset,ORG,0.07192162698412698,0.09904761904761905,fr,4
Apple,Apple,ORG,0.18499999999999997,0.21666666666666667,fr,3
Milipol,Milipol,ORG,0.146,0.06666666666666667,fr,3
Union européenne,Union européenne,ORG,0.11923076923076924,0.15128205128205127,fr,3
Autorité palestinienne,Autorité palestinienne,ORG,0.0675,0.11875000000000001,fr,3
NHC,NHC,ORG,0.022000000000000002,0.04000000000000001,fr,3
Naval Group,Naval Group,ORG,0.061111111111111116,0.08888888888888889,fr,3
UE,UE,ORG,0.11923076923076924,0.11346153846153845,fr,2
Libération,Libération,ORG,0.08416666666666667,0.04375,fr,2
Sagrada Familia,Sagrada Familia,ORG,0.17733333333333332,0.11750000000000001,fr,2
Information Dana Morris Dixon,Information Dana Morris Dixon,ORG,0.21749999999999997,0.14,fr,2
Forces,Forces,ORG,0.025333333333333326,0.10333333333333333,fr,2
Assemblée,Assemblée,ORG,0.07166666666666667,0.08333333333333333,fr,2
Greenpeace,Greenpeace,ORG,0.2275,0.04375,fr,2
Eglise pour pédocriminalité,Eglise pour pédocriminalité,ORG,-0.015,-0.0175,fr,2
ASSE,ASSE,ORG,0.4,0.4,fr,2
Etat du Para,Etat du Para,ORG,0.14666666666666667,0.03333333333333333,fr,2
Amazon Italie,Amazon Italie,ORG,0.185,0.1625,fr,2
CIJ,CIJ,ORG,0.20725396825396825,0.08666666666666668,fr,2
The post,The post,ORG,0.24124999999999996,0.2375,fr,2
LAURENCE,LAURENCE,ORG,-0.039642857142857146,0.093,fr,2
CIA,CIA,ORG,0.0075,0.05,fr,2
Etat mercredi,Etat mercredi,ORG,0.21250000000000002,0.10625000000000001,fr,2
Cour internationale de justice,Cour internationale de justice,ORG,0.2562857142857143,0.03642857142857143,fr,2
Nations unies,Nations unies,ORG,0.11757142857142858,0.08,fr,2
Financial Times,Financial Times,ORG,0.17714285714285713,0.10357142857142858,fr,2
Il Post,Il Post,ORG,0.03846153846153846,0.0,fr,1
Institut israélien de médecine légale,Institut israélien de médecine légale,ORG,0.19999999999999998,0.0,fr,1
FSR,FSR,ORG,-0.15,0.0,fr,1
Etat unitaire,Etat unitaire,ORG,-0.15,0.0,fr,1
université Erasmus,université Erasmus,ORG,0.31000000000000005,0.0,fr,1
