,phrase,label,sentiment,subjectivity,language,count
Léon XIV,Léon XIV,PER,0.20154757158046638,0.2565070820991873,fr,38
Rudi Garcia,Rudi Garcia,PER,0.08172380952380953,0.12764835164835164,fr,20
Charles III,Charles III,PER,0.211474358974359,0.18217948717948718,fr,13
Matz Sels,Matz Sels,PER,0.019720000000000005,0.2415,fr,10
Paul Gusching,Paul Gusching,PER,-0.089,0.2335714285714286,fr,7
Mahmoud Abbas,Mahmoud Abbas,PER,0.025500000000000005,0.039642857142857146,fr,7
Marie Descoubes,Marie Descoubes,PER,0.13499007936507937,0.18541666666666667,fr,6
Heïdi Sevestre,Heïdi Sevestre,PER,-0.01010416666666667,0.18041666666666667,fr,6
lONG Oil,lONG Oil,PER,0.06188974358974357,0.10015384615384615,fr,5
Jérémy Doku,Jérémy Doku,PER,0.06760000000000002,0.21800000000000003,fr,5
Youri Tielemans,Youri Tielemans,PER,0.05446190476190475,0.16528571428571429,fr,5
Emmanuel Macron,Emmanuel Macron,PER,0.0696,0.064,fr,5
Donald Trump,Donald Trump,PER,0.04395714285714286,0.13816666666666666,fr,5
Nicolas Raskin,Nicolas Raskin,PER,0.28750000000000003,0.33541666666666664,fr,4
Maxim De Cuyper,Maxim De Cuyper,PER,0.08598214285714285,0.15535714285714286,fr,4
Thibaut Courtois,Thibaut Courtois,PER,0.04270833333333333,0.1469871794871795,fr,4
Matthieu Tordeur,Matthieu Tordeur,PER,-0.0684375,0.17000000000000004,fr,4
Talgat Baysufinov,Talgat Baysufinov,PER,0.189,0.25,fr,4
reine Mathilde,reine Mathilde,PER,0.17375,0.19375000000000003,fr,4
De Winter,De Winter,PER,0.10942857142857143,0.20428571428571426,fr,4
Recep Tayyip Erdogan,Recep Tayyip Erdogan,PER,-0.14714285714285713,0.2714285714285714,fr,4
Daniil Medvedev,Daniil Medvedev,PER,-0.15899999999999997,0.09,fr,4
Nathan Ngoy,Nathan Ngoy,PER,0.0614047619047619,0.14809523809523809,fr,3
Diego Moreira,Diego Moreira,PER,0.25555555555555554,0.2583333333333333,fr,3
Pierre de Rome,Pierre de Rome,PER,0.146,0.08,fr,3
Salah Hamouri,Salah Hamouri,PER,0.15,0.2875,fr,3
Haropa Port,Haropa Port,PER,0.17499999999999996,0.08749999999999998,fr,3
Pierre Filiu,Pierre Filiu,PER,0.03910714285714286,0.09753968253968255,fr,3
Koni De Winter,Koni De Winter,PER,0.0832142857142857,0.14047619047619045,fr,3
Malick Fofana,Malick Fofana,PER,0.25555555555555554,0.2583333333333333,fr,3
Luc Terlinden,Luc Terlinden,PER,0.09000000000000001,0.20714285714285716,fr,3
lagence Reuters,lagence Reuters,PER,0.02409900284900285,0.14367699430199432,fr,3
Benyamin Netanyahou,Benyamin Netanyahou,PER,0.3577777777777778,0.20000000000000004,fr,3
Marco Rubio,Marco Rubio,PER,0.07476190476190477,0.10952380952380952,fr,3
Geert Decoster,Geert Decoster,PER,0.21833333333333335,0.3166666666666667,fr,3
Benyamin Nétanyahou,Benyamin Nétanyahou,PER,0.10960317460317459,0.13095238095238093,fr,3
Volodymyr Zelensky,Volodymyr Zelensky,PER,0.07592592592592594,0.06703703703703705,fr,3
Donatas Rumsas,Donatas Rumsas,PER,-0.03833333333333334,0.024999999999999998,fr,2
Rudi Miel,Rudi Miel,PER,0.0775,0.15000000000000002,fr,2
Marwan Barghouti,Marwan Barghouti,PER,0.00973214285714286,0.09571428571428572,fr,2
Jomart Tokaïev,Jomart Tokaïev,PER,0.02666666666666667,0.11666666666666665,fr,2
Michèle B,Michèle B,PER,0.030000000000000002,0.03333333333333333,fr,2
Yifat Tomer,Yifat Tomer,PER,-0.05657142857142857,0.09428571428571428,fr,2
Michel Nicolier,Michel Nicolier,PER,-0.1125,0.225,fr,2
Amadou Onana,Amadou Onana,PER,0.10600000000000001,0.18,fr,2
Meny Godard,Meny Godard,PER,0.09416666666666665,0.1,fr,2
Oskar Barnack,Oskar Barnack,PER,0.18333333333333335,0.10000000000000002,fr,2
Centho Chocolates,Centho Chocolates,PER,0.21833333333333335,0.3166666666666667,fr,2
