keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew,continent,geonames,latitude,longitude,geotype,country,ipcc,gnd
'Île Christmas',fr,Christmas Island,#a317d0,#a317d0,2,0.906650015,INDIAN,2078138,-10.5,105.66667,A,Christmas Island,SIO,4219436-2
'Guatemala',fr,Guatemala,#91e939,#91e939,1,0.89,CENTRAL-AMERICA,3595528,15.5,-90.25,A,Guatemala,SCA,4022428-4
'Virgin Islands',fr,U.S. Virgin Islands,#0EAD55,#0EAD55,1,0.89,CENTRAL-AMERICA,4796512,17.72751,-64.74698,P,U.S. Virgin Islands,CAR,4229389-3
'Koweit',fr,Kuwait,#5574ec,#5574ec,1,0.89,ASIA,285570,29.5,47.75,A,Kuwait,ARP,4073919-3
'Kazakhstan',fr,Kazakhstan,#8b7bf0,#8b7bf0,1,0.89,ASIA,1522867,48.0,68.0,A,Kazakhstan,WSB,1009150-6
'Tokelau',fr,Tokelau,#05147B,#05147B,1,0.89,PACIFIC,4031074,-9.167,-171.83,A,Tokelau,EPO,4236941-1
'Îles Turques et Caïques',fr,Turks and Caicos Islands,#65ea45,#65ea45,1,0.89,CENTRAL-AMERICA,3576916,21.73333,-71.58333,A,Turks and Caicos Islands,CAR,4285170-1
'grand-mère',fr,Bonaire; Saint Eustatius and Saba ,#a7ef6f,#a7ef6f,1,0.89,NORTH-AMERICA,4994353,42.00825,-86.54436,H,United States,ENA,1249101638
'Jérusalem-Est',fr,Palestinian Territory,#5a96ec,#5a96ec,3,0.870574434259,EUROPE-AFRICA,6254930,31.92157,35.20329,A,Palestine,MED,
'Koweït ville',fr,Kuwait,#9EAEB4,#9EAEB4,2,0.865450045,ASIA,285570,29.5,47.75,A,Kuwait,ARP,4073919-3
'Territoire palestinien',fr,Palestinian Territory,#879448,#879448,3,0.833590368636,EUROPE-AFRICA,6254930,31.92157,35.20329,A,Palestine,MED,
'Port-aux-Français',fr,French Southern Territories,#210e80,#210e80,3,0.824484552136,SOUTHERN,1546102,-49.34916,70.21937,P,French Southern Territories,SOO,
'Antarctique',fr,Antarctica,#073546,#073546,3,0.797004009045,POLAR,6255152,-78.15856,16.40626,L,Antarctica,EAN,4002208-0
'Charlotte-Amélie',fr,U.S. Virgin Islands,#0EAD55,#0EAD55,2,0.79552524,CENTRAL-AMERICA,4796512,17.72751,-64.74698,P,U.S. Virgin Islands,CAR,4229389-3
'Ouest-de-l'Île',fr,Cocos Islands,#1e0e80,#1e0e80,3,0.783174660478,SOUTHERN,1546171,-49.34818,68.7106,T,French Southern Territories,SOO,
'Vatican',fr,Vatican,#6ed4ee,#6ed4ee,3,0.782294422267,EUROPE-AFRICA,3164670,41.90225,12.4533,A,Vatican,MED,4062404-3
